task,language,model,token,count_m,count_f,total_m,total_f,vocab_size,alpha,p_m,p_f,log_or,label,is_term,male_docs,female_docs
downstream,en,Claude Opus 4.5 (n1n.ai),undergraduate,101,110,4332,4301,532,1.0,0.020970394736842105,0.022967101179391682,-0.09095113982898191,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),abstract,19,9,4332,4301,532,1.0,0.004111842105263158,0.002069108214359611,0.6867534287590265,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),intensive,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),less,1,6,4332,4301,532,1.0,0.00041118421052631577,0.0014483757500517278,-1.259156720296287,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),iterative,4,1,4332,4301,532,1.0,0.0010279605263157894,0.0004138216428719222,0.9098969800732363,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),historical,7,8,4332,4301,532,1.0,0.001644736842105263,0.00186219739292365,-0.1241767874573023,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),constructive,9,7,4332,4301,532,1.0,0.002055921052631579,0.0016552865714876887,0.2167497995132909,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),exemplary,6,6,4332,4301,532,1.0,0.0014391447368421052,0.0014483757500517278,-0.006393751800918936,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),conventional,1,4,4332,4301,532,1.0,0.00041118421052631577,0.0010345541071798054,-0.9226844836750739,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),classical,43,35,4332,4301,532,1.0,0.009046052631578948,0.0074487895716946,0.1942769436612323,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),interdisciplinary,10,11,4332,4301,532,1.0,0.002261513157894737,0.002482929857231533,-0.09340512879054857,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),supplementary,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),female,0,8,4332,4301,532,1.0,0.00020559210526315788,0.00186219739292365,-2.203618329137138,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),computational,13,18,4332,4301,532,1.0,0.0028782894736842104,0.0039313056072832605,-0.3117754013521007,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),competent,3,3,4332,4301,532,1.0,0.0008223684210526315,0.0008276432857438444,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),careful,16,13,4332,4301,532,1.0,0.0034950657894736842,0.0028967515001034555,0.18776226264003856,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),standard,4,6,4332,4301,532,1.0,0.0010279605263157894,0.0014483757500517278,-0.34286598842213184,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),significant,11,26,4332,4301,532,1.0,0.0024671052631578946,0.00558659217877095,-0.8173239680172477,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),rigorous,18,29,4332,4301,532,1.0,0.00390625,0.006207324643078833,-0.4631521542966338,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),respected,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),educational,3,3,4332,4301,532,1.0,0.0008223684210526315,0.0008276432857438444,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),suited,7,1,4332,4301,532,1.0,0.001644736842105263,0.0004138216428719222,1.3799006093189718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),dedicated,4,4,4332,4301,532,1.0,0.0010279605263157894,0.0010345541071798054,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ethic,11,10,4332,4301,532,1.0,0.0024671052631578946,0.002276019035795572,0.08061762518871085,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),professional,7,8,4332,4301,532,1.0,0.001644736842105263,0.00186219739292365,-0.1241767874573023,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),modern,18,10,4332,4301,532,1.0,0.00390625,0.002276019035795572,0.5401499545671511,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),tight,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),thoughtful,20,13,4332,4301,532,1.0,0.004317434210526316,0.0028967515001034555,0.3990713563072456,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),quiet,6,3,4332,4301,532,1.0,0.0014391447368421052,0.0008276432857438444,0.5532220361345038,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),meticulous,6,9,4332,4301,532,1.0,0.0014391447368421052,0.002069108214359611,-0.36306869573965117,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),english,3,4,4332,4301,532,1.0,0.0008223684210526315,0.0010345541071798054,-0.22953730311512865,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),personal,67,75,4332,4301,532,1.0,0.013980263157894737,0.015725222429133042,-0.11761938691114311,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),superior,18,17,4332,4301,532,1.0,0.00390625,0.0037243947858473,0.047673469469356904,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),further,9,3,4332,4301,532,1.0,0.002055921052631579,0.0008276432857438444,0.9098969800732363,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),large,17,20,4332,4301,532,1.0,0.003700657894736842,0.004345127250155183,-0.16054443162817722,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),numerous,8,5,4332,4301,532,1.0,0.001850328947368421,0.0012414649286157666,0.39907135630724544,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),distinctive,16,10,4332,4301,532,1.0,0.0034950657894736842,0.002276019035795572,0.42892431945692666,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),qualitative,17,14,4332,4301,532,1.0,0.003700657894736842,0.0031036623215394167,0.1759278049930356,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),particular,32,25,4332,4301,532,1.0,0.006784539473684211,0.005379681357334989,0.2320172716440793,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),countless,6,3,4332,4301,532,1.0,0.0014391447368421052,0.0008276432857438444,0.5532220361345038,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),hesitant,7,3,4332,4301,532,1.0,0.001644736842105263,0.0008276432857438444,0.6867534287590265,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),systematic,6,5,4332,4301,532,1.0,0.0014391447368421052,0.0012414649286157666,0.14775692802633936,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),initial,10,9,4332,4301,532,1.0,0.002261513157894737,0.002069108214359611,0.08891642800340617,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),extensive,10,8,4332,4301,532,1.0,0.002261513157894737,0.00186219739292365,0.1942769436612323,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),mathematician,3,3,4332,4301,532,1.0,0.0008223684210526315,0.0008276432857438444,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),small,8,9,4332,4301,532,1.0,0.001850328947368421,0.002069108214359611,-0.11175426745874516,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),minor,7,13,4332,4301,532,1.0,0.001644736842105263,0.0028967515001034555,-0.5660095397363417,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),public,7,4,4332,4301,532,1.0,0.001644736842105263,0.0010345541071798054,0.46360987744481663,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),partial,8,3,4332,4301,532,1.0,0.001850328947368421,0.0008276432857438444,0.8045364644154098,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),successful,3,6,4332,4301,532,1.0,0.0008223684210526315,0.0014483757500517278,-0.5660095397363417,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),remarkable,44,60,4332,4301,532,1.0,0.009251644736842105,0.012621560107593627,-0.31060512620391045,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),supportive,1,7,4332,4301,532,1.0,0.00041118421052631577,0.0016552865714876887,-1.3926881129208095,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),final,9,8,4332,4301,532,1.0,0.002055921052631579,0.00186219739292365,0.0989667638569073,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),clear,21,18,4332,4301,532,1.0,0.004523026315789474,0.0039313056072832605,0.14020972239095675,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),inaccessible,2,3,4332,4301,532,1.0,0.0006167763157894736,0.0008276432857438444,-0.29407582425269985,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),graduate,34,30,4332,4301,532,1.0,0.007195723684210526,0.006414235464514794,0.11496710520334859,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),pure,7,10,4332,4301,532,1.0,0.001644736842105263,0.002276019035795572,-0.3248474829194535,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),difficult,30,22,4332,4301,532,1.0,0.006373355263157895,0.004758948893027105,0.29209923675507776,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),experienced,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),novel,5,8,4332,4301,532,1.0,0.0012335526315789473,0.00186219739292365,-0.41185885990908333,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),talented,3,3,4332,4301,532,1.0,0.0008223684210526315,0.0008276432857438444,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),uncommon,5,3,4332,4301,532,1.0,0.0012335526315789473,0.0008276432857438444,0.39907135630724544,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),essential,9,8,4332,4301,532,1.0,0.002055921052631579,0.00186219739292365,0.0989667638569073,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),alternative,6,7,4332,4301,532,1.0,0.0014391447368421052,0.0016552865714876887,-0.1399251444254415,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),promising,3,3,4332,4301,532,1.0,0.0008223684210526315,0.0008276432857438444,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),diverse,15,18,4332,4301,532,1.0,0.003289473684210526,0.0039313056072832605,-0.17824400872757803,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),innovative,4,9,4332,4301,532,1.0,0.0010279605263157894,0.002069108214359611,-0.6995409323608641,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),willing,9,8,4332,4301,532,1.0,0.002055921052631579,0.00186219739292365,0.0989667638569073,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),consistent,6,4,4332,4301,532,1.0,0.0014391447368421052,0.0010345541071798054,0.3300784848202941,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),high,40,64,4332,4301,532,1.0,0.008429276315789474,0.013449203393337472,-0.46720895499224824,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),technical,26,34,4332,4301,532,1.0,0.005550986842105263,0.007241878750258638,-0.2659049472860035,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),noteworthy,25,25,4332,4301,532,1.0,0.005345394736842105,0.005379681357334989,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),efficient,7,5,4332,4301,532,1.0,0.001644736842105263,0.0012414649286157666,0.281288320650862,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),adequate,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),other,89,93,4332,4301,532,1.0,0.01850328947368421,0.019449617214980345,-0.049878863740657815,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),entire,3,4,4332,4301,532,1.0,0.0008223684210526315,0.0010345541071798054,-0.22953730311512865,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),different,17,18,4332,4301,532,1.0,0.003700657894736842,0.0039313056072832605,-0.06046097307119455,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),positive,22,41,4332,4301,532,1.0,0.0047286184210526315,0.008690254500310366,-0.6085691541551375,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),academic,170,194,4332,4301,532,1.0,0.03515625,0.040347610180012414,-0.13772975386200575,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),receptive,9,5,4332,4301,532,1.0,0.002055921052631579,0.0012414649286157666,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),necessary,56,71,4332,4301,532,1.0,0.01171875,0.0148975791433892,-0.24000860298242402,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),considerable,29,24,4332,4301,532,1.0,0.006167763157894737,0.0051727705358990276,0.17592780499303576,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),methodical,7,1,4332,4301,532,1.0,0.001644736842105263,0.0004138216428719222,1.3799006093189718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),additional,47,56,4332,4301,532,1.0,0.009868421052631578,0.011793916821849782,-0.17824400872757817,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ongoing,2,3,4332,4301,532,1.0,0.0006167763157894736,0.0008276432857438444,-0.29407582425269985,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),invaluable,1,10,4332,4301,532,1.0,0.00041118421052631577,0.002276019035795572,-1.711141844039344,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),clean,5,0,4332,4301,532,1.0,0.0012335526315789473,0.0002069108214359611,1.785365717427136,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),various,5,7,4332,4301,532,1.0,0.0012335526315789473,0.0016552865714876887,-0.29407582425269985,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),responsible,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),prepared,6,2,4332,4301,532,1.0,0.0014391447368421052,0.0006207324643078833,0.8409041085862847,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),contemporary,20,19,4332,4301,532,1.0,0.004317434210526316,0.004138216428719222,0.042396412368513305,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),cautious,5,1,4332,4301,532,1.0,0.0012335526315789473,0.0004138216428719222,1.0922185368671908,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),primary,23,16,4332,4301,532,1.0,0.004934210526315789,0.0035174839644113386,0.33844673449081075,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),interpretive,5,6,4332,4301,532,1.0,0.0012335526315789473,0.0014483757500517278,-0.16054443162817722,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),capable,11,6,4332,4301,532,1.0,0.0024671052631578946,0.0014483757500517278,0.5326027489317681,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),key,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),broad,25,21,4332,4301,532,1.0,0.005345394736842105,0.004552038071591144,0.16066033286224748,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),first,7,4,4332,4301,532,1.0,0.001644736842105263,0.0010345541071798054,0.46360987744481663,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),accessible,4,5,4332,4301,532,1.0,0.0010279605263157894,0.0012414649286157666,-0.18871530859487357,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),continued,4,3,4332,4301,532,1.0,0.0010279605263157894,0.0008276432857438444,0.2167497995132909,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),original,18,25,4332,4301,532,1.0,0.00390625,0.005379681357334989,-0.32005131065596043,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),methodological,18,14,4332,4301,532,1.0,0.00390625,0.0031036623215394167,0.2299950262633115,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),fundamental,14,10,4332,4301,532,1.0,0.0030838815789473685,0.002276019035795572,0.30376117650292067,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),humble,9,5,4332,4301,532,1.0,0.002055921052631579,0.0012414649286157666,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),junior,20,21,4332,4301,532,1.0,0.004317434210526316,0.004552038071591144,-0.05291376743581157,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),distinct,7,11,4332,4301,532,1.0,0.001644736842105263,0.002482929857231533,-0.41185885990908333,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),productive,6,4,4332,4301,532,1.0,0.0014391447368421052,0.0010345541071798054,0.3300784848202941,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),effective,3,2,4332,4301,532,1.0,0.0008223684210526315,0.0006207324643078833,0.281288320650862,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),aware,4,7,4332,4301,532,1.0,0.0010279605263157894,0.0016552865714876887,-0.4763973810466544,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),single,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),most,32,30,4332,4301,532,1.0,0.006784539473684211,0.006414235464514794,0.0561266051804152,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ethical,14,25,4332,4301,532,1.0,0.0030838815789473685,0.005379681357334989,-0.5564400887201909,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),great,52,41,4332,4301,532,1.0,0.010896381578947368,0.008690254500310366,0.22622854346783464,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),genuine,65,55,4332,4301,532,1.0,0.013569078947368422,0.011587006000413822,0.15790929949035754,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),quantitative,19,18,4332,4301,532,1.0,0.004111842105263158,0.0039313056072832605,0.04489954258663178,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),notable,12,4,4332,4301,532,1.0,0.0026726973684210527,0.0010345541071798054,0.9491176932265175,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),impressive,32,37,4332,4301,532,1.0,0.006784539473684211,0.007862611214566521,-0.14747235006082424,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),urban,10,16,4332,4301,532,1.0,0.002261513157894737,0.0035174839644113386,-0.4417118230587643,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),potential,2,4,4332,4301,532,1.0,0.0006167763157894736,0.0010345541071798054,-0.5172193755669096,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),mature,13,6,4332,4301,532,1.0,0.0028782894736842104,0.0014483757500517278,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),empirical,8,2,4332,4301,532,1.0,0.001850328947368421,0.0006207324643078833,1.0922185368671908,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),real,14,8,4332,4301,532,1.0,0.0030838815789473685,0.00186219739292365,0.5044318719650719,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),present,4,2,4332,4301,532,1.0,0.0010279605263157894,0.0006207324643078833,0.5044318719650718,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),elegant,9,7,4332,4301,532,1.0,0.002055921052631579,0.0016552865714876887,0.2167497995132909,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),core,7,4,4332,4301,532,1.0,0.001644736842105263,0.0010345541071798054,0.46360987744481663,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),sociological,22,22,4332,4301,532,1.0,0.0047286184210526315,0.004758948893027105,-0.006393751800918824,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),enthusiastic,2,3,4332,4301,532,1.0,0.0006167763157894736,0.0008276432857438444,-0.29407582425269985,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),exceptional,60,95,4332,4301,532,1.0,0.012541118421052632,0.019863438857852266,-0.45986807909544375,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),same,3,2,4332,4301,532,1.0,0.0008223684210526315,0.0006207324643078833,0.281288320650862,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),coherent,8,6,4332,4301,532,1.0,0.001850328947368421,0.0014483757500517278,0.2449206764799871,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ideal,5,8,4332,4301,532,1.0,0.0012335526315789473,0.00186219739292365,-0.41185885990908333,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),challenging,14,17,4332,4301,532,1.0,0.0030838815789473685,0.0037243947858473,-0.18871530859487343,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),substantial,4,5,4332,4301,532,1.0,0.0010279605263157894,0.0012414649286157666,-0.18871530859487357,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),certain,13,17,4332,4301,532,1.0,0.0028782894736842104,0.0037243947858473,-0.25770818008182494,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),solid,13,9,4332,4301,532,1.0,0.0028782894736842104,0.002069108214359611,0.3300784848202941,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),insightful,5,6,4332,4301,532,1.0,0.0012335526315789473,0.0014483757500517278,-0.16054443162817722,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),past,43,44,4332,4301,532,1.0,0.009046052631578948,0.00931098696461825,-0.028866607652977515,neutral,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),comparative,3,4,4332,4301,532,1.0,0.0008223684210526315,0.0010345541071798054,-0.22953730311512865,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),applied,9,6,4332,4301,532,1.0,0.002055921052631579,0.0014483757500517278,0.3502811921378135,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),nuanced,4,6,4332,4301,532,1.0,0.0010279605263157894,0.0014483757500517278,-0.34286598842213184,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),outstanding,27,45,4332,4301,532,1.0,0.005756578947368421,0.00951789778605421,-0.50283063811481,female_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),strong,93,77,4332,4301,532,1.0,0.019325657894736843,0.016139044072004966,0.1801922037794933,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),beneficial,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),ambitious,5,2,4332,4301,532,1.0,0.0012335526315789473,0.0006207324643078833,0.6867534287590263,male_biased,False,40,40
downstream,en,Claude Opus 4.5 (n1n.ai),discouraged,2,3,4332,4301,532,1.0,0.0006167763157894736,0.0008276432857438444,-0.29407582425269985,female_biased,False,40,40
