path,line,category,reason,model_family,model_version,task,language,person,major,spec_id
data\results_midstream\kimi\kimi-k2-0905\s1_major\combo17\standard.jsonl,4,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s1_major,,,,
data\results_midstream\kimi\kimi-k2-0905\s1_major\combo25\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s1_major,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo02\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo05\standard.jsonl,4,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo08\standard.jsonl,9,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo11\standard.jsonl,6,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo15\standard.jsonl,4,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo15\standard.jsonl,9,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo18\standard.jsonl,3,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo18\standard.jsonl,7,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo18\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo23\standard.jsonl,3,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo26\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo27\standard.jsonl,3,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo30\standard.jsonl,4,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s3_performance\combo33\standard.jsonl,9,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s3_performance,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo09\standard.jsonl,10,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo19\standard.jsonl,1,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo19\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo21\standard.jsonl,1,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo28\standard.jsonl,8,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s4_presentation\combo35\standard.jsonl,9,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s4_presentation,,,,
data\results_midstream\kimi\kimi-k2-0905\s5_competition\combo09\standard.jsonl,6,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s5_competition,,,,
data\results_midstream\kimi\kimi-k2-0905\s7_thesis\combo01\standard.jsonl,5,parse_error,missing xiaoting_profile,Kimi-K2-Instruct-0905 via SiliconFlow,kimi-kimi-k2-0905,s7_thesis,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo01\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo03\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo04\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo04\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo04\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo06\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo07\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo07\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo07\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo08\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo08\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo09\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo09\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo09\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo10\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo11\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo12\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo13\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo14\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo14\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo14\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo14\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo14\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo15\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo15\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo16\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo17\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo18\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo18\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo19\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo20\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo20\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo21\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo21\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo21\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo22\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo22\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo22\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo23\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo23\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo24\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo24\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo25\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo25\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo25\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo25\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo27\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo28\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo29\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo29\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo29\standard.jsonl,9,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo29\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo33\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo35\standard.jsonl,3,parse_error,missing xiaoting_profile,Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo35\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo36\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s1_major\combo36\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 8 column 16 (char 251),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s1_major,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo03\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo03\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo04\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo04\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo04\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo05\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo05\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo06\standard.jsonl,5,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo06\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo07\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo08\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo08\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo09\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo12\standard.jsonl,1,parse_error,missing xiaoting_profile,Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo12\standard.jsonl,3,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo12\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo12\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo13\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo13\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo14\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo16\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo19\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo19\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo21\standard.jsonl,4,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo21\standard.jsonl,6,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo21\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo22\standard.jsonl,2,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo23\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo23\standard.jsonl,10,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo24\standard.jsonl,1,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo24\standard.jsonl,7,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
data\results_midstream\qwen\qwen3-32b\s2_course\combo25\standard.jsonl,8,parse_error,json_decode_error: Expecting value: line 1 column 1 (char 0),Qwen3-32B via SiliconFlow,qwen-qwen3-32b,s2_course,,,,
